name,ring,quadrant,isNew,description
Open Telementry,Adopt,Tools,FALSE,<p>By default Open Telemetry should be used wherever we add new instrumentation.</p>
Miro,Adopt,Tools,FALSE,<p>Miro should be the default choice for diagramming / visualizations.</p>
Jenkins (for build agents),Adopt,Tools,FALSE,<p>For now we won't be seriously exploring alternatives to Jenkins.</p>
Terraform,Adopt,Tools,FALSE,<p>Best-in-class infrastructure as code tool</p>
Ansible,Adopt,Tools,FALSE,<p>Best-in-class infrastructure as code tool</p>
Packer,Adopt,Tools,FALSE,<p>Best-in-class infrastructure as code tool</p>
Grafana,Adopt,Tools,FALSE,"<p>Unity ES/SRE centrally supported and low cost.</p>
<p>Should be the default for visualizing data.</p>"
Concourse,Adopt,Tools,FALSE,<p>Concourse should be our default for all image-building pipelines.</p>
Postgres,Adopt,Tools,FALSE,<p>Postgres should be the default choice whenever a relational database is called for.</p>
Artifactory,Adopt,Tools,FALSE,<p>Default for all artifact management.</p>
Confluence,Trial,Tools,FALSE,"<p>Confluence has a lot of value as a way to index artifacts which may exist in other locations, eg. documents in Google drive, diagrams in Miro.</p>
<p>We need to determine how we could use Confluence more effectively and if it makes sense to invest in it further.</p>"
PlantUML,Assess,Tools,FALSE,<p>Used for creating diagrams from plain text. Needs evaluation before we recommend wide-use.</p>
Podman,Assess,Tools,FALSE,<p>Needs a full assessment before we commit to trialing Podman in place of Docker.</p>
K3s,Assess,Tools,FALSE,<p>Needs a full assessment before we commit to trialing as a replacement for K8s.</p>
Lucid charts,Assess,Tools,FALSE,"<p>Prefer using Miro if appropriate. Lucid does seem to meet some needs that Miro doesn't, so we should assess if/when Lucid should be the default tool.</p>"
Google Drive,Assess,Tools,FALSE,"<p>We already use Google drive for documentation widely, but not exclusively.</p>
<p>We want to start trying to use Google drive more effectively, and determine if/where it should become a team-wide default.</p>"
honeycomb.io,Assess,Tools,FALSE,"<p>Assess as part of improving system observability, but don't make any decisions which require a longer term commitment to honeycomb.io yet.</p>"
Puppet,Hold,Tools,FALSE,"<p>Avoid using Puppet unless there is no alternative, and plan to move away from Puppet wherever possible preferably Ansible.</p>"
PRE Prometheus,Hold,Tools,TRUE,"<p>While using Prometheus with Open Telemetry is convenient, the PRE managed Prometheus has been deprecated, so we should not use it.</p>"
CloudBees CICD,Hold,Tools,FALSE,"<p>CloudBees CICD does not currently seem to be meeting all of our long-term needs, we should avoid adding new dependencies on CloudBees (and should start to consider alternatives)</p>"
Data Studio,Hold,Tools,FALSE,"<p>Don't add any new dashboards to Data Studio, consider migrating existing dashboards when updating or extending them.</p>"
Mongo,Hold,Tools,FALSE,<p>Using Mongo as we currently do for build service is undesirable. We should not add any further dependencies on Mongo when dealing with relational data.</p>
Docker (as a buildbot runtime),Hold,Tools,FALSE,"<p>Running Unity in Docker is not currently feasible, so we shouldn't make any plans that rely on this for the time being.</p>"
draw.io,Hold,Tools,FALSE,"<p>Use a non-Hold tool for new diagrams unless there are specific draw.io features that you cannot do without for a specific application.</p>
<p>When editing existing draw.io diagrams, try to move them to one of the other tools.</p>"
Ruby / Rails,Hold,languages-and-frameworks,FALSE,"<p>No new usages of Ruby.</p>
<p>Plan to start migrating existing Ruby code.</p>"
Python,Hold,languages-and-frameworks,FALSE,<p>No new usages of Python.</p>
Angular,Hold,languages-and-frameworks,FALSE,<p>No new usages of Angular. Existing Angular code should be migrated to React.</p>
Javascript (vanilla),Hold,languages-and-frameworks,FALSE,"<p>No new usages of vanilla Javascript, Typescript should be adopted instead.</p>"
Bash,Hold,languages-and-frameworks,FALSE,<p>No new usages of Bash. Consider Powershell Core instead.</p>
Powershell,Hold,languages-and-frameworks,FALSE,<p>No new usages of Powershell. Consider Powershell Core instead.</p>
C#,Trial,languages-and-frameworks,FALSE,"<p>Current team usage of C# is minimal, but C# remains widely-used within Unity. Consider trialing C# where a different Adopt language doesn't seem as appropriate.</p>"
Typescript,Trial,languages-and-frameworks,FALSE,<p>Existing vanilla JS code should be migrated to Typescript if/when practical.</p>
Powershell core,Assess,languages-and-frameworks,FALSE,<p>A promising multi-platform alternative to Powershell which needs further investigation.</p>
Web components,Assess,languages-and-frameworks,FALSE,"<p>Promising, but needs investigation to determine if worth trialing in the front-end.</p>"
Next.js,Assess,languages-and-frameworks,FALSE,"<p>Promising, but needs investigation to determine if worth trialing in the front-end.</p>"
Go,Adopt,languages-and-frameworks,FALSE,"<p>Go should be the language of choice for new CLIs, and for services where there is no strong argument for using Node.js</p>"
Node.js,Adopt,languages-and-frameworks,FALSE,"<p>We want to continue using node.js as a framework for existing services (ie. we don't plan to migrate) and for new services when appropriate - particularly for services which the Web team may want to make changes in.</p>
<p>Not to be conflated with using vanilla Javascript which we want to move away from in favor of Typescript</p>"
Swagger,Adopt,languages-and-frameworks,FALSE,<p>Should be the default for creating and documenting REST APIs.</p>
Mongoose,Hold,Platforms,FALSE,"<p>Avoid adding additional dependencies on Mongoose specific functionality.</p>
<p>Where possible, make choices that will make migrating to an alternative ORM as easy as possible.</p>"
VMWare,Hold,Platforms,FALSE,<p>Avoid further investments in VMWare unless absolutely necessary for system continuity.</p>
Object Rocket Mongo,Hold,Platforms,FALSE,<p>No new databases should be created using Object Rocket. Plan for existing databases to be moved when practical.</p>
Linux Runners,Hold,Platforms,FALSE,<p>Lack of support for Unity on Linux means that Linux build agents are currently on hold.</p>
SQS,Hold,Platforms,FALSE,"<p>No new dependecies on SQS should be added.</p>
<p>Plan to migrate existing SQS queues.</p>"
Logz.io,Hold,Platforms,FALSE,<p>Don't add new dependencies on Logz.io.</p>
PRE Kronos,Hold,Platforms,FALSE,<p>Do not use Kronos - we want to consolidate technologies and use Datadog instead.</p>
Terraform Enterprise,Hold,Platforms,FALSE,<p>There has been Unity discussion around Terraform Enterprise. While we want continue to use Terraform in UCB we do not want to commit to using Terraform Enterprise.</p>
Looker,Hold,Platforms,FALSE,"<p>Choose BigQuery instead, for dealing with data sets. Choose Grafana for dashboards and visualizations.</p>"
AWS,Hold,Platforms,FALSE,"<p>No new dependencies on AWS specific technologies should be added.</p>
<p>Operate on the assumption that we may want to use AWS at some point in the future.</p>"
Azure,Adopt,Platforms,FALSE,<p>Plan to use Azure for new cloud dependencies.</p>
Azure App Service,Assess,Platforms,FALSE,<p>Needs to be assessed to decide if it's worth pursuing as an alternative to K8s.</p>
GCP,Hold,Platforms,FALSE,"<p>No new dependencies on GCP specific technologies should be added.</p>
<p>Operate on the assumption that we may want to use GCP again at some point in the future.</p>"
GCP Cloud Run,Hold,Platforms,FALSE,<p>No new dependencies on GCP specific technologies should be added.</p>
Google Container Registry,Hold,Platforms,FALSE,<p>No new dependencies on GCP specific technologies should be added.</p>
